DATE,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
2001-04-27,0.43,26.02,2.1,0.41,12.68
2001-04-28,0.08,26.42,2.38,0.45,14.45
2001-04-29,0.0,26.15,2.51,0.48,15.27
2001-04-30,8.25,26.24,2.16,0.41,13.39
2001-05-01,10.6,26.1,2.02,0.39,13.05
2001-05-02,10.13,26.14,1.98,0.38,12.17
2001-05-03,4.42,25.36,2.0,0.38,12.65
2001-05-04,3.08,25.84,2.14,0.41,13.41
2001-05-05,2.84,25.84,2.23,0.42,13.65
2001-05-06,2.51,26.33,2.46,0.46,14.99
2001-05-07,1.01,25.87,2.24,0.43,14.04
2001-05-08,0.4,26.27,2.2,0.42,13.88
2001-05-09,14.1,25.65,2.13,0.41,12.89
2001-05-10,3.91,26.3,2.35,0.45,14.62
2001-05-11,0.0,26.02,2.19,0.41,13.86
2001-05-12,8.33,25.19,2.38,0.45,15.0
2001-05-13,5.36,25.62,2.23,0.43,14.26
2001-05-14,1.18,25.08,1.9,0.37,12.07
2001-05-15,15.22,25.68,2.01,0.38,12.49
2001-05-16,0.39,25.91,2.35,0.45,14.57
2001-05-17,1.14,26.27,2.02,0.39,13.07
2001-05-18,10.22,24.49,0.89,0.17,6.15
2001-05-19,0.69,24.4,1.73,0.34,10.86
2001-05-20,9.42,24.41,2.05,0.39,13.44
2001-05-21,6.83,25.31,2.04,0.39,13.45
2001-05-22,9.76,25.45,1.98,0.38,13.12
2001-05-23,27.23,25.37,2.19,0.41,14.14
2001-05-24,2.39,25.1,1.91,0.37,12.41
2001-05-25,3.77,24.87,2.03,0.39,13.18
2001-05-26,0.71,24.61,1.48,0.29,9.76
2001-05-27,1.02,25.0,1.75,0.34,11.28
2001-05-28,1.02,24.74,1.72,0.34,11.34
2001-05-29,1.42,24.3,1.4,0.27,8.94
2001-05-30,1.43,24.55,1.91,0.37,12.04
2001-05-31,3.55,25.05,2.03,0.39,12.58
2001-06-01,18.26,25.25,1.88,0.36,12.31
2001-06-02,7.42,24.62,1.63,0.31,10.16
2001-06-03,1.36,24.03,1.46,0.28,9.21
2001-06-04,11.73,25.04,1.83,0.35,11.66
2001-06-05,3.4,24.18,1.4,0.27,8.55
2001-06-06,11.25,24.73,1.89,0.36,12.03
2001-06-07,6.33,24.59,2.02,0.38,12.66
2001-06-08,19.26,24.17,1.62,0.31,10.04
2001-06-09,6.95,24.46,1.63,0.31,10.24
2001-06-10,5.27,24.73,2.06,0.39,12.53
2001-06-11,2.39,24.11,1.95,0.37,12.16
2001-06-12,0.77,25.18,1.93,0.37,12.2
2001-06-13,2.41,24.53,1.74,0.34,11.66
