YEAR,MO,DY,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
1982,5,12,0.19,24.18,-999,-999,-999
1982,5,13,0.52,23.86,-999,-999,-999
1982,5,14,6.38,23.83,-999,-999,-999
1982,5,15,0.8,23.88,-999,-999,-999
1982,5,16,0,23.81,-999,-999,-999
1982,5,17,0.17,24.48,-999,-999,-999
1982,5,18,8.45,25.15,-999,-999,-999
1982,5,19,0.07,25.73,-999,-999,-999
1982,5,20,0,24.87,-999,-999,-999
1982,5,21,0.12,24.97,-999,-999,-999
1982,5,22,0.06,25.19,-999,-999,-999
1982,5,23,0.45,24.51,-999,-999,-999
1982,5,24,0.1,24.51,-999,-999,-999
1982,5,25,1.84,25.26,-999,-999,-999
1982,5,26,16.01,25.5,-999,-999,-999
1982,5,27,4.48,24.96,-999,-999,-999
1982,5,28,1.28,25.51,-999,-999,-999
1982,5,29,7.69,25.51,-999,-999,-999
1982,5,30,10.41,25.23,-999,-999,-999
1982,5,31,2.12,25.49,-999,-999,-999
1982,6,1,0.51,25.51,-999,-999,-999
1982,6,2,0.73,24.91,-999,-999,-999
1982,6,3,8.51,25.55,-999,-999,-999
1982,6,4,1.54,25.73,-999,-999,-999
1982,6,5,5.32,24.81,-999,-999,-999
1982,6,6,5.03,24.88,-999,-999,-999
1982,6,7,4.1,24.44,-999,-999,-999
1982,6,8,5.76,24.62,-999,-999,-999
1982,6,9,0.2,25.14,-999,-999,-999
1982,6,10,1.47,25.07,-999,-999,-999
1982,6,11,2.68,24.85,-999,-999,-999
1982,6,12,5.84,24.8,-999,-999,-999
1982,6,13,0.59,25.33,-999,-999,-999
1982,6,14,0.1,24.02,-999,-999,-999
1982,6,15,0.04,24.37,-999,-999,-999
1982,6,16,0.18,24.73,-999,-999,-999
1982,6,17,0.07,24.92,-999,-999,-999
1982,6,18,0.57,24.9,-999,-999,-999
1982,6,19,7.72,24.69,-999,-999,-999
1982,6,20,0.49,23.51,-999,-999,-999
1982,6,21,0,24.01,-999,-999,-999
1982,6,22,0.01,24.12,-999,-999,-999
1982,6,23,0.03,24.15,-999,-999,-999
1982,6,24,0.36,24.29,-999,-999,-999
1982,6,25,0.06,23.94,-999,-999,-999
1982,6,26,0,23.46,-999,-999,-999
1982,6,27,1.93,22.9,-999,-999,-999
1982,6,28,0.23,23.43,-999,-999,-999
1982,6,29,0.61,24.3,-999,-999,-999
1982,6,30,0.11,23.98,-999,-999,-999
1982,7,1,0.02,24.04,-999,-999,-999
1982,7,2,0,24.32,-999,-999,-999
1982,7,3,0,24.17,-999,-999,-999
1982,7,4,0,23.09,-999,-999,-999
1982,7,5,0,23.45,-999,-999,-999
1982,7,6,6.36,23.19,-999,-999,-999
1982,7,7,3.87,23,-999,-999,-999
1982,7,8,0,23.16,-999,-999,-999
1982,7,9,0,22.98,-999,-999,-999
1982,7,10,0,22.86,-999,-999,-999
1982,7,11,0,23.08,-999,-999,-999
1982,7,12,0.15,23.55,-999,-999,-999
1982,7,13,20.57,23.53,-999,-999,-999
1982,7,14,8.72,23.69,-999,-999,-999
1982,7,15,0.25,24.13,-999,-999,-999
1982,7,16,0.02,23.77,-999,-999,-999
1982,7,17,0.5,24.06,-999,-999,-999
1982,7,18,0.07,23.21,-999,-999,-999
1982,7,19,3.94,22.28,-999,-999,-999
1982,7,20,2.17,23.53,-999,-999,-999
1982,7,21,0.39,24.53,-999,-999,-999
1982,7,22,12.33,24.43,-999,-999,-999
1982,7,23,1.34,24.25,-999,-999,-999
1982,7,24,0.07,24.08,-999,-999,-999
1982,7,25,2.89,24.32,-999,-999,-999
1982,7,26,3.81,23.97,-999,-999,-999
1982,7,27,0.67,24.08,-999,-999,-999
1982,7,28,0,23.79,-999,-999,-999
1982,7,29,0.03,23.34,-999,-999,-999
1982,7,30,0.01,23.57,-999,-999,-999
1982,7,31,0,23.57,-999,-999,-999
1982,8,1,0,23.86,-999,-999,-999
1982,8,2,0,24.53,-999,-999,-999
1982,8,3,8.32,24.96,-999,-999,-999
1982,8,4,12.5,24.85,-999,-999,-999
1982,8,5,0.31,24.46,-999,-999,-999
1982,8,6,0,24.12,-999,-999,-999
1982,8,7,0,23.7,-999,-999,-999
1982,8,8,0,23.98,-999,-999,-999
1982,8,9,0.04,24.3,-999,-999,-999
1982,8,10,0,24.26,-999,-999,-999
1982,8,11,0,24.04,-999,-999,-999
1982,8,12,1.1,24.72,-999,-999,-999
1982,8,13,0.24,25.05,-999,-999,-999
1982,8,14,0,24.57,-999,-999,-999
1982,8,15,0.02,25.19,-999,-999,-999
1982,8,16,0.01,24.76,-999,-999,-999
1982,8,17,0.03,23.8,-999,-999,-999
1982,8,18,0.03,24.34,-999,-999,-999
1982,8,19,0,24.33,-999,-999,-999
1982,8,20,0,24.11,-999,-999,-999
1982,8,21,0,23.9,-999,-999,-999
1982,8,22,0,23.9,-999,-999,-999
1982,8,23,0.01,23.08,-999,-999,-999
1982,8,24,0,23.28,-999,-999,-999
1982,8,25,0,23.9,-999,-999,-999
1982,8,26,0,23.71,-999,-999,-999
1982,8,27,0,23.83,-999,-999,-999
1982,8,28,0,24.55,-999,-999,-999
1982,8,29,0,25.11,-999,-999,-999
1982,8,30,0,25.01,-999,-999,-999
1982,8,31,0,25.01,-999,-999,-999
1982,9,1,0,25.01,-999,-999,-999
1982,9,2,0,24.43,-999,-999,-999
1982,9,3,0,24.01,-999,-999,-999
1982,9,4,0,24.16,-999,-999,-999
1982,9,5,0,24.52,-999,-999,-999
1982,9,6,0,25.13,-999,-999,-999
1982,9,7,0,24.95,-999,-999,-999
1982,9,8,0,25.44,-999,-999,-999
1982,9,9,0,25.58,-999,-999,-999
1982,9,10,0,25.54,-999,-999,-999
1982,9,11,0,25.26,-999,-999,-999
1982,9,12,0,25.77,-999,-999,-999
1982,9,13,0,26.58,-999,-999,-999
1982,9,14,0,26.03,-999,-999,-999
1982,9,15,0.15,25.98,-999,-999,-999
1982,9,16,1.74,26.1,-999,-999,-999
1982,9,17,1.23,25.61,-999,-999,-999
1982,9,18,0.28,26.4,-999,-999,-999
1982,9,19,0.64,26.55,-999,-999,-999
1982,9,20,0.02,26.15,-999,-999,-999
1982,9,21,2.61,26.09,-999,-999,-999
1982,9,22,0.46,25.96,-999,-999,-999
1982,9,23,0,26.05,-999,-999,-999
1982,9,24,0,26.67,-999,-999,-999
1982,9,25,0,26.65,-999,-999,-999
1982,9,26,0,25.98,-999,-999,-999
1982,9,27,12.26,25.55,-999,-999,-999
1982,9,28,0.81,25.9,-999,-999,-999
1982,9,29,0.01,26.46,-999,-999,-999
1982,9,30,1.16,26.72,-999,-999,-999
1982,10,1,4.61,26.12,-999,-999,-999
1982,10,2,0.08,26,-999,-999,-999
1982,10,3,0,25.82,-999,-999,-999
1982,10,4,0.65,27.08,-999,-999,-999
1982,10,5,0.09,27.23,-999,-999,-999
1982,10,6,0.58,27.26,-999,-999,-999
1982,10,7,0.78,27.05,-999,-999,-999
1982,10,8,0.05,27.27,-999,-999,-999
1982,10,9,0,26.62,-999,-999,-999
1982,10,10,2.68,27.19,-999,-999,-999
1982,10,11,14.82,25.97,-999,-999,-999
1982,10,12,0.56,27.03,-999,-999,-999
1982,10,13,22.17,25.52,-999,-999,-999
1982,10,14,9.42,26.26,-999,-999,-999
1982,10,15,7.23,24.12,-999,-999,-999
1982,10,16,23.89,24.99,-999,-999,-999
1982,10,17,0.17,24.91,-999,-999,-999
1982,10,18,0.01,25.31,-999,-999,-999
1982,10,19,0,24.51,-999,-999,-999
1982,10,20,0,25.98,-999,-999,-999
1982,10,21,0,25.85,-999,-999,-999
1982,10,22,0,25.49,-999,-999,-999
1982,10,23,0,25.98,-999,-999,-999
1982,10,24,0,26,-999,-999,-999
1982,10,25,0,26.28,-999,-999,-999
1982,10,26,0.81,27.03,-999,-999,-999
1982,10,27,0.11,25.83,-999,-999,-999
1982,10,28,0,26.65,-999,-999,-999
1982,10,29,0,27.4,-999,-999,-999
1982,10,30,0.11,28.01,-999,-999,-999
1982,10,31,4.81,26.33,-999,-999,-999
1982,11,1,16.48,25.39,-999,-999,-999
1982,11,2,5.23,26.52,-999,-999,-999
1982,11,3,0.19,27.28,-999,-999,-999
1982,11,4,0.99,27.25,-999,-999,-999
1982,11,5,11.68,26.4,-999,-999,-999
1982,11,6,5.22,26.38,-999,-999,-999
1982,11,7,1.03,26.65,-999,-999,-999
1982,11,8,5.25,26.82,-999,-999,-999
1982,11,9,20.49,25.91,-999,-999,-999
1982,11,10,2.04,27.02,-999,-999,-999
1982,11,11,1.71,27.12,-999,-999,-999
1982,11,12,20.9,26.65,-999,-999,-999
1982,11,13,3.6,26.1,-999,-999,-999
1982,11,14,0.03,26.23,-999,-999,-999
1982,11,15,0.29,26.53,-999,-999,-999
1982,11,16,0,27.18,-999,-999,-999
1982,11,17,7.12,27.59,-999,-999,-999
1982,11,18,7.14,27.36,-999,-999,-999
1982,11,19,3.09,27.26,-999,-999,-999
1982,11,20,6.99,25.24,-999,-999,-999
1982,11,21,1.6,26.55,-999,-999,-999
1982,11,22,3.26,27.58,-999,-999,-999
1982,11,23,20.21,27.08,-999,-999,-999
1982,11,24,1.71,27.21,-999,-999,-999
1982,11,25,1.05,27.17,-999,-999,-999
1982,11,26,17.38,26.37,-999,-999,-999
1982,11,27,0.79,26.94,-999,-999,-999
1982,11,28,0.88,27.23,-999,-999,-999
1982,11,29,17.51,25.55,-999,-999,-999
1982,11,30,4.62,25.49,-999,-999,-999
1982,12,1,0.58,26.48,-999,-999,-999
1982,12,2,8.79,26.78,-999,-999,-999
1982,12,3,1.46,25.26,-999,-999,-999
1982,12,4,5.14,25.91,-999,-999,-999
1982,12,5,1.33,24.85,-999,-999,-999
1982,12,6,3.58,25.37,-999,-999,-999
1982,12,7,3.99,25.09,-999,-999,-999
1982,12,8,6.91,25.99,-999,-999,-999
1982,12,9,5.83,25.06,-999,-999,-999
1982,12,10,11.38,25.88,-999,-999,-999
1982,12,11,1.68,26.58,-999,-999,-999
1982,12,12,29.43,26.11,-999,-999,-999
1982,12,13,4.1,26.26,-999,-999,-999
1982,12,14,4.82,25.82,-999,-999,-999
1982,12,15,10.84,26.57,-999,-999,-999
1982,12,16,26.62,25.55,-999,-999,-999
1982,12,17,5.37,26.8,-999,-999,-999
1982,12,18,20.25,24.73,-999,-999,-999
1982,12,19,10.04,25.51,-999,-999,-999
1982,12,20,38.72,25,-999,-999,-999
1982,12,21,10.43,25.17,-999,-999,-999
1982,12,22,11.84,25.14,-999,-999,-999
1982,12,23,10.97,25.56,-999,-999,-999
1982,12,24,6.24,25.83,-999,-999,-999
1982,12,25,13.86,25.66,-999,-999,-999
1982,12,26,5.54,24.36,-999,-999,-999
1982,12,27,4.38,23.67,-999,-999,-999
1982,12,28,14.01,24.95,-999,-999,-999
1982,12,29,15.83,24.25,-999,-999,-999
1982,12,30,2.89,25.15,-999,-999,-999
1982,12,31,12.72,25.64,-999,-999,-999
1983,1,1,4.1,24.89,-999,-999,-999
1983,1,2,5.58,25.68,-999,-999,-999
1983,1,3,15.68,23.87,-999,-999,-999
1983,1,4,14.52,24.01,-999,-999,-999
1983,1,5,13.12,24.46,-999,-999,-999
1983,1,6,5.92,24.44,-999,-999,-999
1983,1,7,8.77,24.7,-999,-999,-999
1983,1,8,4.56,24.85,-999,-999,-999
1983,1,9,4.78,24.19,-999,-999,-999
1983,1,10,3.13,25.05,-999,-999,-999
1983,1,11,0.8,23.87,-999,-999,-999
1983,1,12,1.8,24.99,-999,-999,-999
1983,1,13,4.35,23.48,-999,-999,-999
1983,1,14,3.95,25.26,-999,-999,-999
1983,1,15,6.22,25.62,-999,-999,-999
1983,1,16,6.55,26.19,-999,-999,-999
1983,1,17,2.77,26.55,-999,-999,-999
1983,1,18,6.75,26.12,-999,-999,-999
1983,1,19,11.35,26.24,-999,-999,-999
1983,1,20,32.58,24.47,-999,-999,-999
1983,1,21,21.4,24.13,-999,-999,-999
1983,1,22,13.67,23.94,-999,-999,-999
1983,1,23,1.93,25.54,-999,-999,-999
1983,1,24,6.01,25.46,-999,-999,-999
1983,1,25,13.54,25.07,-999,-999,-999
1983,1,26,1.68,25.55,-999,-999,-999
1983,1,27,0.13,25.25,-999,-999,-999
1983,1,28,2.87,25.62,-999,-999,-999
1983,1,29,0.28,27.08,-999,-999,-999
1983,1,30,8.33,26.06,-999,-999,-999
1983,1,31,2.93,26.71,-999,-999,-999
1983,2,1,9.49,26.69,-999,-999,-999
1983,2,2,3.06,24.83,-999,-999,-999
1983,2,3,16.4,24.82,-999,-999,-999
1983,2,4,18.27,25.12,-999,-999,-999
1983,2,5,4.14,24.53,-999,-999,-999
1983,2,6,0.55,25.34,-999,-999,-999
1983,2,7,28.63,25.11,-999,-999,-999
1983,2,8,6.68,24.07,-999,-999,-999
1983,2,9,3.66,25.43,-999,-999,-999
1983,2,10,1.44,25.74,-999,-999,-999
1983,2,11,4.08,24.89,-999,-999,-999
1983,2,12,2.2,25.87,-999,-999,-999
1983,2,13,2.56,26.05,-999,-999,-999
1983,2,14,5.33,26.3,-999,-999,-999
1983,2,15,5.62,26.29,-999,-999,-999
1983,2,16,15.76,25.77,-999,-999,-999
1983,2,17,18.5,24.26,-999,-999,-999
1983,2,18,6.52,23.59,-999,-999,-999
1983,2,19,1.32,25.4,-999,-999,-999
1983,2,20,8.05,26.3,-999,-999,-999
1983,2,21,9.25,24.58,-999,-999,-999
1983,2,22,6.81,24.37,-999,-999,-999
1983,2,23,1.67,24.9,-999,-999,-999
1983,2,24,0.23,25.76,-999,-999,-999
1983,2,25,0.29,25.86,-999,-999,-999
1983,2,26,4.23,25.1,-999,-999,-999
1983,2,27,9.22,25.49,-999,-999,-999
1983,2,28,18.5,25.6,-999,-999,-999
1983,3,1,16.88,25.97,-999,-999,-999
1983,3,2,5.73,26.38,-999,-999,-999
1983,3,3,3.19,26.28,-999,-999,-999
1983,3,4,1.64,25.72,-999,-999,-999
1983,3,5,11.23,24.69,-999,-999,-999
1983,3,6,11.45,24.84,-999,-999,-999
1983,3,7,5.06,24.23,-999,-999,-999
1983,3,8,5.61,24.84,-999,-999,-999
1983,3,9,1.08,25.77,-999,-999,-999
1983,3,10,4.79,25.39,-999,-999,-999
1983,3,11,3.61,25.05,-999,-999,-999
1983,3,12,15.53,25.89,-999,-999,-999
1983,3,13,12.47,25.55,-999,-999,-999
1983,3,14,10.33,25.98,-999,-999,-999
1983,3,15,16.37,25.45,-999,-999,-999
1983,3,16,4.48,25.55,-999,-999,-999
1983,3,17,0.55,24.56,-999,-999,-999
1983,3,18,0.5,25.38,-999,-999,-999
1983,3,19,2.67,24.55,-999,-999,-999
1983,3,20,3.67,25.99,-999,-999,-999
1983,3,21,14.37,26.12,-999,-999,-999
1983,3,22,8.09,25.18,-999,-999,-999
1983,3,23,0.79,25.96,-999,-999,-999
1983,3,24,0.01,26.16,-999,-999,-999
1983,3,25,6.87,26.1,-999,-999,-999
1983,3,26,15.52,25.08,-999,-999,-999
